PARTICIPANT_ID,AGE,HAS_TAKEN_TYPING_COURSE,COUNTRY,LAYOUT,NATIVE_LANGUAGE,FINGERS,KEYBOARD_TYPE,ERROR_RATE,AVG_WPM_15,ROR
459,20,0,US,qwerty,zh,9-10,laptop,1.19047619047619,42.9667,0.5134
460,20,0,PK,qwerty,sd,1-2,full,0.16,30.0169,0.1262
461,28,0,CN,qwerty,zh,9-10,small,0.321027287319422,54.9323,0.28
466,25,1,PH,qwerty,tl,9-10,laptop,0.21680216802168,41.455,0.3096
469,20,1,US,qwerty,en,9-10,laptop,0.4149377593361,82.8916,0.6281
470,25,0,IN,qwerty,te,1-2,on-screen,1.01010101010101,26.5428,0.0382
473,28,0,PH,qwerty,en,1-2,full,0.0,37.4243,0.2356
477,18,0,AU,qwerty,en,7-8,full,5.46021840873635,77.7829,0.3858
478,20,1,IN,qwerty,en,9-10,laptop,0.17636684303351,30.2062,0.0661
480,35,0,US,qwerty,en,5-6,laptop,0.506756756756757,41.614,0.2389
481,27,0,US,qwerty,en,1-2,laptop,0.288600288600289,31.763,0.0969
485,35,0,MY,qwerty,en,7-8,laptop,0.237717908082409,69.4707,0.5491
500,25,0,IN,qwerty,te,1-2,on-screen,0.168350168350168,30.6855,0.0311
501,25,1,IN,qwerty,hi,9-10,full,0.836202656173143,53.6128,0.3372
504,24,0,MY,qwerty,en,9-10,laptop,0.154559505409583,84.1757,0.4368
505,26,0,VN,qwerty,vi,3-4,full,0.732600732600733,38.3238,0.1305
506,25,0,HK,qwerty,zh,9-10,full,0.559701492537313,40.3864,0.1801
508,23,1,MV,qwerty,en,3-4,laptop,0.807537012113055,47.1096,0.155
510,23,0,SG,qwerty,en,3-4,full,0.483870967741935,83.9645,0.3377
516,22,1,IN,qwerty,hi,9-10,laptop,5.52396425670187,39.8121,0.2753
523,21,1,PK,qwerty,ur,9-10,full,2.15827338129496,44.5425,0.2039
526,20,1,FR,azerty,fr,9-10,full,1.98170731707317,40.6563,0.157
529,30,0,IN,qwerty,en,9-10,laptop,0.619195046439629,19.311,0.0897
533,36,0,IE,qwerty,en,5-6,laptop,1.22116689280868,24.5494,0.0589
534,21,0,US,qwerty,en,1-2,laptop,0.687547746371276,34.2666,0.1421
537,22,0,PH,qwerty,en,3-4,full,0.55452865064695,37.8502,0.0362
540,22,0,IN,qwerty,hi,3-4,full,6.70289855072464,28.1777,0.011
541,29,0,IE,qwerty,en,1-2,small,1.09204368174727,35.8417,0.0943
543,19,0,US,qwerty,en,1-2,laptop,2.62565641410353,40.4567,0.0956
545,23,0,IN,qwerty,en,3-4,full,0.490998363338789,35.0251,0.0813
546,29,0,PH,qwerty,en,7-8,laptop,0.297176820208024,36.2216,0.0437
548,24,1,US,qwerty,en,5-6,full,0.339366515837104,31.0031,0.076
552,28,0,PK,qwerty,ur,9-10,laptop,0.451807228915663,68.9249,0.2236
553,29,0,ZA,qwerty,en,7-8,laptop,1.39968895800933,47.4648,0.2426
559,22,0,PH,qwerty,en,3-4,full,1.25,39.277,0.0431
562,36,0,IN,qwerty,en,3-4,full,0.636435958631663,28.3976,0.0713
565,21,0,IN,qwerty,en,1-2,laptop,1.60116448326055,19.9358,0.03
572,22,1,IN,qwerty,hi,9-10,laptop,0.42674253200569,36.5147,0.2459
575,21,0,IN,qwerty,te,9-10,laptop,8.30508474576271,20.028,0.0
577,29,0,GB,qwerty,en,7-8,full,0.411522633744856,82.0493,0.3082
585,23,0,US,qwerty,en,1-2,laptop,1.33587786259542,32.3887,0.177
591,31,0,MY,qwerty,en,9-10,full,0.764525993883792,72.7652,0.3853
597,20,0,IN,qwerty,hi,3-4,full,0.534623217922607,39.4826,0.1007
602,24,0,IN,qwerty,ml,9-10,full,0.578871201157742,76.0344,0.5795
603,21,1,IN,qwerty,en,9-10,laptop,0.860585197934596,55.1087,0.4962
604,24,0,PH,qwerty,en,1-2,full,0.359389038634322,46.0373,0.1077
605,22,0,PH,qwerty,en,3-4,full,0.377358490566038,37.5086,0.0341
606,21,0,IN,qwerty,en,5-6,full,8.02422407267222,35.6343,0.302
615,20,0,PK,qwerty,ur,1-2,full,1.55210643015521,29.3753,0.0387
619,23,0,IN,qwerty,te,1-2,laptop,0.0,24.7987,0.0527
620,26,0,US,qwerty,en,5-6,full,2.28070175438596,29.0958,0.2156
621,36,1,PH,qwerty,tl,9-10,full,0.756938603868797,79.9278,0.4072
627,24,1,US,qwerty,en,5-6,full,0.974025974025974,41.5281,0.0585
634,21,0,IN,qwerty,hi,9-10,full,2.83643239836117,26.9516,0.045
639,32,0,IN,qwerty,ml,5-6,laptop,0.40551500405515,28.4915,0.1106
640,24,1,IN,qwerty,te,9-10,full,0.452488687782805,43.5897,0.1298
642,24,1,US,qwerty,en,5-6,full,1.49925037481259,38.2934,0.0713
645,19,0,AU,qwerty,en,9-10,full,0.581395348837209,89.8183,0.5638
647,24,0,IN,qwerty,en,5-6,full,2.94573643410853,18.4031,0.0773
648,24,0,IN,qwerty,mr,5-6,full,0.279329608938547,26.2842,0.0771
653,36,1,IN,qwerty,hi,9-10,laptop,0.523560209424084,69.5536,0.3527
656,20,0,US,qwerty,en,5-6,laptop,1.31368151233579,37.3148,0.1829
663,19,0,CA,qwerty,en,9-10,laptop,0.171526586620926,69.828,0.5572
666,28,1,EG,qwerty,ar,9-10,laptop,0.851788756388416,27.2204,0.2079
667,60,0,IN,qwerty,en,9-10,full,0.70635721493441,18.7924,0.0425
669,12,0,AU,qwerty,en,5-6,laptop,0.661375661375661,32.8042,0.0438
674,17,1,US,qwerty,en,5-6,laptop,0.634920634920635,72.9279,0.3118
675,20,0,IN,qwerty,en,5-6,laptop,4.08432147562582,30.5697,0.0743
681,23,0,IN,qwerty,te,9-10,full,0.337268128161889,34.3962,0.2164
686,30,0,FI,qwerty,fi,5-6,full,2.30978260869565,38.4996,0.2887
692,23,0,IN,qwerty,en,1-2,full,1.15131578947368,14.4614,0.0311
694,16,0,VN,qwerty,en,3-4,laptop,1.82370820668693,35.7295,0.161
695,22,1,IE,qwerty,en,7-8,full,1.60513643659711,54.8797,0.3581
696,22,0,MY,qwerty,en,1-2,laptop,1.91304347826087,29.0632,0.0443
697,25,0,IN,azerty,en,1-2,on-screen,0.50251256281407,37.4281,0.1918
701,30,0,PH,qwerty,tl,1-2,laptop,0.294767870302137,25.6599,0.0403
704,25,0,IN,qwerty,hi,9-10,full,3.4257748776509,41.4172,0.0949
707,32,1,IN,qwerty,hi,9-10,full,0.46875,37.1409,0.2
708,30,1,IN,qwerty,en,9-10,laptop,0.916936353829558,17.8276,0.0112
716,43,1,IN,qwerty,or,9-10,on-screen,0.0,33.3838,0.0352
725,14,1,CA,qwerty,en,7-8,full,1.24031007751938,42.5959,0.2484
726,20,0,HK,qwerty,zh,7-8,laptop,1.53061224489796,62.3421,0.2453
727,33,0,IE,qwerty,en,9-10,full,0.0834028356964137,44.1563,0.205
732,42,0,PH,qwerty,tl,3-4,full,1.59420289855072,21.9276,0.0707
733,30,1,PH,qwerty,tl,3-4,laptop,1.73913043478261,49.4638,0.0662
735,22,1,IN,qwerty,en,9-10,full,0.418994413407821,20.7712,0.1169
736,29,0,MY,qwerty,en,9-10,full,0.410958904109589,97.3197,0.4368
744,47,0,US,qwerty,en,9-10,full,4.34108527131783,64.8403,0.3511
745,32,1,IN,qwerty,hi,9-10,full,0.487408610885459,43.457,0.235
747,20,0,IN,qwerty,ta,5-6,full,0.771604938271605,47.4337,0.1233
748,23,0,IN,qwerty,en,1-2,full,0.338409475465313,32.3336,0.1038
750,19,0,GB,qwerty,en,5-6,laptop,2.41935483870968,50.1248,0.075
753,25,0,PK,qwerty,ur,1-2,full,1.13636363636364,26.4388,0.046
757,29,0,IN,qwerty,ml,5-6,laptop,0.258843830888697,30.0198,0.1272
763,26,0,IN,qwerty,ml,7-8,full,0.17921146953405,36.543,0.0819
770,22,0,IN,qwerty,en,7-8,laptop,1.43769968051118,25.6534,0.2178
771,17,1,JP,qwerty,tl,9-10,laptop,0.0,55.9538,0.1222
777,27,1,US,qwerty,en,9-10,laptop,0.665188470066519,67.0253,0.4368
783,23,0,IN,qwerty,en,3-4,full,0.631911532385466,32.5973,0.088
